Iteration,Rank,CNB_alpha,ElasticNet_alpha,ElasticNet_l1_ratio,FeatPreProcess,Featsel_Variance,FeatureScaling,Imputation,ImputationMethod,ImputationNeighbours,LDA_shrinkage,LDA_solver,LRC,LRpenalty,PCAType,QDA_reg_param,RFmax_depth,RFmin_samples_split,RFn_estimators,ReliefDistanceP,ReliefNN,ReliefNumFeatures,ReliefSampleSize,ReliefUse,Resampling_Method,Resampling_Use,Resampling_k_neighbors,Resampling_n_cores,Resampling_n_neighbors,Resampling_sampling_strategy,Resampling_threshold_cleaning,SGD_alpha,SGD_l1_ratio,SGD_loss,SGD_penalty,SVMC,SVMKernel,SVMcoef0,SVMdegree,SVMgamma,SelectFromModel,SelectGroups,StatisticalTestMetric,StatisticalTestThreshold,StatisticalTestUse,UsePCA,classifiers,coliage_features,fractal_features,histogram_features,location_features,log_features,max_iter,orientation_features,original_features,patient_features,phase_features,random_seed,rgrd_features,semantic_features,shape_features,texture_gabor_features,texture_glcm_features,texture_glcmms_features,texture_gldm_features,texture_gldzm_features,texture_glrlm_features,texture_glszm_features,texture_lbp_features,texture_ngldm_features,texture_ngtdm_features,toolbox,vessel_features,wavelet_features,Number
1,1,0.30190240051172557,0.008287714378208414,0.5612843360159754,False,True,robust_z_score,True,most_frequent,6,0.002760274660351074,eigen,0.9414935929294805,l2,10,0.010430786907920759,7,3,48,2,3,36,0.828230374659817,False,SMOTETomek,False,18,1,5,all,0.27766062038218847,0.00019670855425832094,0.07908889125564755,modified_huber,l2,50.75798147504809,rbf,0.3946705202951618,6.4185224691262786,0.004452538984016847,False,True,MannWhitneyU,0.021233996346861447,False,True,LDA,False,False,False,False,True,100000,False,True,False,True,1542091830,False,False,False,True,False,True,True,True,False,True,True,True,True,All,False,True,24880
1,2,0.6027253694365632,0.28899051969644146,0.7367792724213572,False,True,robust_z_score,True,most_frequent,5,0.9629919018763056,eigen,0.25818369256998763,l2,100,0.0009871943701164725,9,4,28,2,2,50,0.8575308603028118,False,NearMiss,False,7,1,3,auto,0.2504882908311536,0.0009679761094179276,0.14921259335552706,hinge,l1,1.432249582823696,poly,0.17822659712676248,2.2929462550382063,0.0608340527684076,False,True,MannWhitneyU,0.003640379044900495,False,False,LDA,False,True,True,False,False,100000,False,True,False,False,357670666,True,False,True,False,False,False,True,True,False,False,False,False,True,PyRadiomics,False,True,7235
1,3,0.055723973860611564,0.0024267067350640477,0.20052678728647944,False,True,robust_z_score,True,constant,7,2.5305105685639665e-05,svd,0.5058983999710382,l2,10,0.0590947306720913,9,2,72,3,2,22,0.9680760817269944,False,RandomOverSampling,False,17,1,3,not minority,0.7247907086372425,4.162711940704337e-05,0.23917870484399473,hinge,none,397.40804932822533,linear,0.5456098709530691,5.319133453688775,0.3920364827129966,False,True,MannWhitneyU,0.005916383341865836,False,False,SVM,False,True,True,True,False,100000,True,True,False,False,4005230506,True,False,True,False,False,False,False,False,False,False,False,True,False,PyRadiomics,False,True,12535
1,4,0.5320183902205784,0.11947720159644167,0.8582020749896817,False,True,robust_z_score,True,most_frequent,8,0.013693196923523268,svd,0.894233326320535,l2,95variance,5.672508150367626e-05,7,3,65,3,2,57,0.928612353003543,False,SMOTETomek,False,9,1,12,not minority,0.6988092044939629,0.1274699151180894,0.8702187603722296,modified_huber,l2,124.8248576032907,linear,0.4655368889646524,3.1520934378486674,0.0004122654185959563,False,True,MannWhitneyU,0.022266973403480366,False,False,RF,False,True,True,True,False,100000,False,True,False,False,3011128805,True,False,False,False,False,False,True,True,True,True,False,False,True,PyRadiomics,False,True,1625
1,5,0.4893981590762472,1.0462196010601998e-05,0.4082726852224303,False,True,robust_z_score,True,mean,8,0.2911249142580501,eigen,0.6042066852899185,l2,95variance,0.0025065164032773857,6,3,30,1,2,59,0.8269883059104519,True,RandomUnderSampling,False,12,1,11,auto,0.5554531120932602,5.9031607686055e-05,0.4928341429138623,squared_hinge,none,1321.6951219996108,poly,0.5327009234317288,4.080801881894203,6.286219772945364e-05,False,True,MannWhitneyU,0.011141325177230413,False,False,SVM,False,False,False,True,True,100000,False,True,False,False,2801457301,True,False,False,False,False,False,True,False,True,False,True,True,True,PREDICT,True,False,9580
1,6,0.9335786007478056,0.0011971107321536558,0.42680459138391,False,True,robust_z_score,True,median,8,0.011306517259736158,svd,0.44747754966622755,l2,50,0.01039921101286868,7,4,15,3,5,25,0.8376126264272361,False,NearMiss,True,9,1,3,all,0.7396961568860643,0.0192051948870026,0.5701401529447755,modified_huber,l1,3596.7309551800663,rbf,0.9641160683568625,3.985162178417112,1.6428859756471494e-05,False,True,MannWhitneyU,0.07877199012336733,False,False,SVM,False,False,False,False,True,100000,True,True,False,False,1065218627,True,False,True,True,False,False,False,True,False,True,False,True,True,PyRadiomics,True,False,21480
1,7,0.03503568094738618,0.0018178736587046598,0.5448873425201569,False,True,robust_z_score,True,knn,7,1.6997546796914733e-05,lsqr,0.647565895318531,l2,100,0.00023155329178427462,5,3,19,2,4,57,0.9632993570711188,False,ADASYN,True,18,1,7,all,0.7139405341852674,0.0014003606947719746,0.856865095284465,modified_huber,l1,22.926018826972026,poly,0.4647254566794311,1.424070534132392,0.4200553314683818,False,True,MannWhitneyU,0.0018186542445586828,False,False,SVM,False,False,True,False,True,100000,False,True,False,False,2052149171,False,False,False,True,False,False,True,True,True,True,True,False,True,PyRadiomics,True,True,21190
1,8,0.8288043314315344,0.06328438958903708,0.09959151032502722,False,True,robust_z_score,True,mean,8,8.10811424520891e-05,lsqr,0.63945520743943,l2,10,0.012361505196644964,5,2,69,3,4,30,0.9297391677219609,False,SMOTE,True,17,1,10,all,0.25111086316140546,0.005548284846016922,0.13550166908767214,squared_hinge,l1,78.59047789313979,linear,0.9002635239290625,2.7877927425001436,0.019852741393737633,False,True,MannWhitneyU,0.005279774673869058,False,False,SVM,False,False,True,False,True,100000,False,True,False,True,649292573,False,False,True,False,True,False,False,False,True,False,True,True,False,All,False,True,13410
1,9,0.9411776568076103,0.008018823521251097,0.45955950284331826,False,True,robust_z_score,True,constant,6,0.000148561072925734,eigen,0.19097604209050967,l2,100,0.9218895350513534,7,3,18,3,3,23,0.7953412985928335,True,SMOTETomek,True,8,1,13,not majority,0.38506926039861566,0.4140596928412544,0.035461021604970555,modified_huber,l1,22646.85675353619,rbf,0.9995773772817194,2.180829003707826,0.06708979939283871,False,True,MannWhitneyU,0.002302366101108097,False,True,SVM,False,True,True,False,True,100000,True,True,False,False,3093261218,False,False,True,False,False,True,True,False,True,False,False,True,False,PyRadiomics,True,False,4995
1,10,0.2198161388124691,8.589764278093862e-05,0.41933424433242195,False,True,robust_z_score,True,mean,9,0.3804448913079844,lsqr,0.8381336634232944,l2,100,1.0596485741069644e-05,9,4,43,2,2,25,0.9993748040618708,True,SMOTE,False,16,1,5,auto,0.6436176000914888,0.0008090093060814398,0.6563484419980585,hinge,none,842756.0446595082,poly,0.7041505827554204,5.487037471858569,3.5789082761377035e-05,False,True,MannWhitneyU,0.009240650181246627,False,False,GaussianNB,False,False,True,False,True,100000,False,True,False,False,366770705,False,False,False,False,False,True,False,False,False,True,True,False,False,All,False,True,19835
