Iteration,Rank,CNB_alpha,ElasticNet_alpha,ElasticNet_l1_ratio,ImputationMethod,ImputationNeighbours,LDA_shrinkage,LDA_solver,LRC,PCAType,QDA_reg_param,RFmax_depth,RFmin_samples_split,RFn_estimators,ReliefDistanceP,ReliefNN,ReliefNumFeatures,ReliefSampleSize,ReliefUse,Resampling_Method,Resampling_Use,Resampling_k_neighbors,Resampling_n_neighbors,Resampling_sampling_strategy,Resampling_threshold_cleaning,SGD_alpha,SGD_l1_ratio,SGD_loss,SGD_penalty,SVMC,SVMKernel,SVMcoef0,SVMdegree,SVMgamma,StatisticalTestThreshold,StatisticalTestUse,UsePCA,classifiers,fractal_features,histogram_features,location_features,log_features,orientation_features,phase_features,random_seed,rgrd_features,shape_features,texture_gabor_features,texture_glcm_features,texture_glcmms_features,texture_gldm_features,texture_gldzm_features,texture_glrlm_features,texture_glszm_features,texture_lbp_features,texture_ngldm_features,texture_ngtdm_features,toolbox,vessel_features,wavelet_features,Number
1,1,0.36569668696977575,0.1917465806593858,0.2063617749019686,knn,8,1.3282102318589811e-05,svd,0.4053490982034723,50,0.00039206433143621085,8,3,33,3,3,20,0.989712291613784,True,NearMiss,True,18,14,majority,0.3597812603291761,0.025778031232904845,0.36777191997394554,hinge,none,10.274794790318428,poly,0.9425606788655523,5.906608465453485,0.013593131449906636,0.0017032154477596075,False,False,RF,False,True,True,False,True,False,4253399212,True,True,True,True,False,False,False,True,True,False,False,True,PyRadiomics,True,False,4990
1,2,0.18424297630600062,0.006178084083789951,0.15238838944880817,constant,7,0.00023434262902835782,svd,0.20093674305939668,95variance,0.010900054837043508,5,4,87,2,4,28,0.7669424333337869,False,SMOTE,False,5,6,not majority,0.36117657309663065,0.6948728840262496,0.21978839941499628,squared_hinge,l1,6971.406908282977,poly,0.9706304299004572,2.5125989924589573,0.0005639266238758741,0.0013847407242783402,False,False,SVM,True,False,False,True,False,False,1351551910,False,True,True,True,True,False,True,True,True,False,True,False,PREDICT,False,True,24890
1,3,0.04287225040266973,0.4300666996932861,0.48428514385144295,most_frequent,7,0.000709401959031795,svd,0.9510206274398849,100,0.024474715230473874,9,4,61,1,4,40,0.7665822593600715,False,SMOTE,False,17,12,majority,0.5806290391260829,0.0019389823463133982,0.45444913395005326,modified_huber,l2,436799.8074728924,rbf,0.6440496724901092,1.5041712016381092,5.907691059728059e-05,0.08679915960890831,False,False,SVM,True,False,True,True,False,False,3357337705,False,True,True,False,True,False,True,True,True,False,False,True,PyRadiomics,False,False,23170
1,4,0.9364928823936914,0.03141083510165018,0.9801821001059002,constant,7,0.2053663901542187,svd,0.17757099812322052,95variance,0.0018320524366102695,8,4,35,3,2,46,0.8673310809190498,False,RandomUnderSampling,False,13,3,not majority,0.6570749552455715,0.0017493846042876489,0.8561190475256882,squared_hinge,l2,86229.81011958385,poly,0.10248530990408189,5.979762249931556,8.502240082268589e-05,0.0751784905743581,True,False,SVM,True,False,True,True,False,False,3171119268,False,False,False,True,False,True,False,True,False,False,False,False,PyRadiomics,True,False,8695
1,5,0.7692414095495966,0.0017759462474704211,0.3493710494262434,knn,6,0.00010897398361966245,lsqr,0.3326029516380471,10,0.004543991030157207,9,3,52,2,3,11,0.9220456665115712,False,BorderlineSMOTE,False,18,7,all,0.5909762377218355,0.139636562247783,0.4382725239047668,hinge,l2,74.85515608577819,rbf,0.7818047516414303,3.5654135339881328,0.01847096460045154,0.06597283690234214,False,False,LR,True,False,False,True,True,True,1554578209,False,True,True,False,False,True,False,True,False,False,True,False,PyRadiomics,True,True,14650
1,6,0.65344711862358,7.975514147640393e-05,0.5941883002851396,knn,7,4.363297396605983e-05,eigen,0.4094790650336627,10,9.691527758584308e-05,5,2,26,1,5,25,0.9245606756193038,False,BorderlineSMOTE,True,16,8,auto,0.742000146499987,7.818980074723075e-05,0.6448795124558355,squared_hinge,l2,690.1526890464529,linear,0.8814220554486369,2.66738884119712,0.00047097421673160926,0.10357218753764841,False,True,LR,False,False,False,True,True,False,190349312,False,True,True,False,False,True,False,False,False,True,True,True,All,False,False,23905
1,7,0.5517275498106273,1.690882902891636e-05,0.34436477838703383,mean,7,0.006106092462353362,svd,0.9455586582883687,95variance,0.04298984374852633,5,4,27,2,3,26,0.9471260740406435,False,NearMiss,False,14,13,auto,0.2603215804741745,0.02627119104372012,0.36802084339947516,hinge,l2,15.125976782684047,linear,0.9887129358862135,4.986130100449115,0.12559880647384916,0.0013274955775351507,False,False,RF,False,False,True,True,True,False,2900481925,True,True,False,True,True,False,False,False,False,False,True,True,All,False,False,13870
1,8,0.3007664239813316,0.0003415574076036933,0.7913061829475403,median,9,1.4807396417572598e-05,lsqr,0.24363035495984542,10,0.00035569020523034957,9,3,76,2,4,54,0.8276226714526533,False,SMOTE,False,13,3,not majority,0.537900739427539,0.057755461197488527,0.9671350141345232,hinge,l2,3499.6580067875207,rbf,0.9371810167998823,6.483021854003493,0.00011168812298479794,0.0015938553753198181,False,True,RF,False,False,True,True,True,False,2882186146,False,False,False,False,True,False,True,True,False,True,True,False,PyRadiomics,False,True,19005
1,9,0.7442437937804476,0.009501478893508757,0.49742837742968316,constant,5,2.287301329183699e-05,lsqr,0.5779113311554892,95variance,0.0061402426939406235,6,4,99,2,5,11,0.8728182933535801,False,SMOTE,False,8,14,not minority,0.6716626399928568,2.954351054741511e-05,0.10907339729136467,hinge,none,67.13773798028019,poly,0.8432888860582342,1.4459634896075908,0.005836676911508828,0.006736055450609056,False,True,GaussianNB,False,False,True,True,False,False,3007559796,False,True,True,True,False,False,False,False,False,False,True,False,PREDICT,False,False,3180
1,10,0.30473716362531056,0.002595529843655878,0.7332152052754571,median,8,0.3386526376832659,eigen,0.9919861964640507,10,0.03555521951910896,6,3,46,1,5,29,0.9573188410841106,False,ADASYN,False,15,14,all,0.5116796708096523,0.0009173794036725422,0.18297052218513887,hinge,l2,1480.8551773922734,poly,0.7238245522810142,6.693265013459044,0.1476794150982387,0.1999663983814277,False,False,RF,True,False,True,True,True,False,1100814625,False,True,False,True,False,True,False,False,False,True,True,False,PyRadiomics,False,False,14130
1,11,0.6985314095359542,0.02187735017806568,0.28048590420973585,most_frequent,7,0.7351480876197309,eigen,0.424696379231533,10,0.003563402426793004,6,2,31,1,2,13,0.7824989793537267,False,BorderlineSMOTE,False,11,3,auto,0.34779848167165806,0.0001820704273628617,0.06085296162694842,hinge,l1,1.1052635992381283,poly,0.9771935632672436,3.651512173782028,0.6041582295876451,0.052209377328899624,False,False,GaussianNB,False,True,False,False,False,True,830519030,True,False,False,False,True,True,False,False,True,True,False,False,PREDICT,False,True,12625
1,12,0.45383449106780027,0.5786358715712089,0.5692393064662679,most_frequent,7,0.14407300802379294,eigen,0.7817367326854222,95variance,1.0899570868146457e-05,6,3,96,1,4,47,0.8818815908516546,False,RandomOverSampling,False,11,11,majority,0.4333812620445824,0.030211741910421388,0.7823950676158283,modified_huber,l2,113817.8405068309,rbf,0.9968937740454965,1.8955428255720113,0.001482502296697257,0.003565097769894267,False,True,LDA,False,False,True,True,True,False,2343647851,False,True,True,True,True,True,False,True,False,False,True,False,PREDICT,False,True,22930
1,13,0.11154801286326765,0.0038333931433622865,0.5636275518695986,most_frequent,5,0.0005785124716356791,lsqr,0.24867642183672123,10,2.4999885607761986e-05,9,3,45,2,4,43,0.9415348609294744,True,RandomUnderSampling,False,9,14,not majority,0.42021275827881355,0.09235394988132428,0.98028454566347,hinge,none,104.00919994641144,poly,0.7810573815395622,3.1916057522138437,0.15843357197067523,0.2667272993033534,False,False,SVM,True,True,True,False,True,True,3762720735,True,True,False,True,True,False,True,False,True,True,False,False,PyRadiomics,True,True,20760
