Iteration,Rank,CNB_alpha,ElasticNet_alpha,ElasticNet_l1_ratio,ImputationMethod,ImputationNeighbours,LDA_shrinkage,LDA_solver,LRC,PCAType,QDA_reg_param,RFmax_depth,RFmin_samples_split,RFn_estimators,ReliefDistanceP,ReliefNN,ReliefNumFeatures,ReliefSampleSize,ReliefUse,Resampling_Method,Resampling_Use,Resampling_k_neighbors,Resampling_n_neighbors,Resampling_sampling_strategy,Resampling_threshold_cleaning,SGD_alpha,SGD_l1_ratio,SGD_loss,SGD_penalty,SVMC,SVMKernel,SVMcoef0,SVMdegree,SVMgamma,StatisticalTestThreshold,StatisticalTestUse,UsePCA,classifiers,fractal_features,histogram_features,location_features,log_features,orientation_features,phase_features,random_seed,rgrd_features,shape_features,texture_gabor_features,texture_glcm_features,texture_glcmms_features,texture_gldm_features,texture_gldzm_features,texture_glrlm_features,texture_glszm_features,texture_lbp_features,texture_ngldm_features,texture_ngtdm_features,toolbox,vessel_features,wavelet_features,Number
1,1,0.3915866940268615,0.038114294314837975,0.8584947932541034,most_frequent,5,0.23724116094721492,lsqr,0.6512521890251189,50,0.0004166401217105032,5,3,75,2,5,48,0.8991452553634969,True,SMOTETomek,False,12,3,all,0.40793752435689956,4.9483293072064135e-05,0.734480719048431,modified_huber,none,1436.4697173562045,rbf,0.20733552773683783,4.5845872039477555,0.00019610248069015893,0.0037077825917070473,False,False,LDA,True,True,True,True,True,False,3103384387,True,True,False,False,False,True,True,True,False,True,False,True,PyRadiomics,False,False,3975
1,2,0.41651081607338025,0.027464597369692208,0.3979248509826744,median,9,0.03186433273368053,svd,0.23747426790674941,50,0.3429025122111321,5,2,57,1,3,43,0.8303808104803361,True,BorderlineSMOTE,False,8,12,not minority,0.47213062969217795,0.01244247269054199,0.391189472486131,modified_huber,none,463975.9108504558,poly,0.5796651447671923,1.6323732988014208,0.012627105340943114,0.007717657945637133,False,True,SVM,False,False,False,True,True,True,270492849,True,False,False,False,False,True,True,False,True,False,False,False,All,False,True,3725
1,3,0.450349046418278,0.0005879438469680999,0.5654593006422436,mean,7,0.03245820118810102,lsqr,0.8537010127923969,95variance,4.844586505576766e-05,6,4,28,1,5,37,0.8119683936432297,False,SMOTE,False,6,11,not majority,0.7230277319068401,9.191734827300198e-05,0.10707108375291952,hinge,l2,10.340147745481664,rbf,0.12622901179039792,3.2628525513070183,0.01418182732430369,0.03778021301417121,False,True,RF,False,False,False,True,True,True,738366605,False,True,False,False,False,False,False,True,True,False,True,False,PyRadiomics,False,True,1815
1,4,0.6296867999656538,0.0008191581226346206,0.8179461262616072,most_frequent,9,0.03585276275352242,eigen,0.34391328035095636,10,0.03216799403861829,8,2,61,2,5,13,0.7680345476921071,False,RandomOverSampling,False,11,13,not minority,0.47616056945318136,0.08195946803641971,0.4951838052756302,squared_hinge,l2,1.500065575922852,rbf,0.5230861057989021,5.4882459370182595,0.3515484187646044,0.008236645934792735,False,False,LR,True,False,True,True,False,False,843808739,False,False,True,True,False,False,False,True,False,False,False,True,All,False,True,1195
1,5,0.5541655865036035,0.0002695330400249802,0.8576710267957336,mean,8,0.001952659196763832,svd,0.1446943640956132,95variance,0.029148513074278737,5,2,87,2,3,53,0.8904821946509688,False,RandomUnderSampling,False,7,6,all,0.3592459272724871,0.10917763251478413,0.05938836669687808,modified_huber,none,71321.05688128209,linear,0.5151729329117081,4.490236075586231,0.016687017520447153,0.20078096220809127,False,True,SVM,False,True,True,False,True,False,3018675069,True,False,False,False,True,True,False,True,True,False,True,False,PyRadiomics,False,True,505
1,6,0.5069719043319962,0.04782986363702596,0.8534726165557905,knn,7,0.530188361093507,eigen,0.5621532040264821,95variance,0.0019639034224597594,5,3,59,2,3,26,0.8935255151243606,False,ADASYN,False,13,4,majority,0.2610172736767399,0.00020581119902750002,0.18671707851849295,squared_hinge,none,1.3179675187212745,linear,0.39729270179042186,3.6724243516645787,2.4404804637984763e-05,0.0017307007501297415,False,False,QDA,False,False,False,True,False,True,4139123996,False,True,False,False,False,False,True,False,False,True,True,True,PREDICT,False,True,3235
1,7,0.9562748563121434,0.3107779457358298,0.36205166807170874,knn,8,0.013447621992685017,svd,0.9728895137123764,100,0.002727358873882895,8,4,26,3,5,18,0.8765775639289279,False,SMOTEENN,False,18,8,auto,0.5839273246719878,0.004205382688013594,0.6704900332824154,modified_huber,none,319912.2632360493,poly,0.6642382009361419,4.306338500887419,0.006900414793628935,0.019992533839113057,False,False,RF,True,False,False,True,True,True,4155638834,True,True,False,False,True,False,False,False,True,True,True,False,PyRadiomics,False,False,175
1,8,0.45143253413034146,0.00023906625577047326,0.9619421411717229,mean,5,0.04702054959570631,svd,0.750058217395576,95variance,5.9097580974062804e-05,6,3,82,3,2,24,0.8934837404736788,False,RandomOverSampling,False,17,3,majority,0.477304590439566,0.008067527512998865,0.06686850849171155,hinge,l1,210679.61658012395,poly,0.39893194616231376,5.139118301020394,0.0003414215982662515,0.006685457221653391,False,False,SVM,False,False,False,True,True,False,2962312021,True,True,False,False,False,True,False,False,False,True,True,False,PyRadiomics,True,False,4345
1,9,0.09741988713456262,0.0004455891613951777,0.5047667153107191,knn,5,1.1482310989642127e-05,eigen,0.40206319458575257,10,0.027414492113374524,6,2,44,1,3,53,0.8328667978708959,True,BorderlineSMOTE,False,18,11,majority,0.2685656271598159,5.062737665279677e-05,0.9928670778319357,modified_huber,l1,1671.461259536297,rbf,0.7670611166405201,5.9938047328008786,0.009830165334932365,0.0019767695207373046,False,False,SVM,False,False,False,False,True,False,1206783642,True,True,False,True,True,False,True,True,True,False,False,True,PyRadiomics,True,False,645
1,10,0.6296867999656538,0.0008191581226346206,0.8179461262616072,most_frequent,9,0.03585276275352242,eigen,0.34391328035095636,10,0.03216799403861829,8,2,61,2,5,13,0.7680345476921071,False,RandomOverSampling,False,11,13,not minority,0.47616056945318136,0.08195946803641971,0.4951838052756302,squared_hinge,l2,1.500065575922852,rbf,0.5230861057989021,5.4882459370182595,0.3515484187646044,0.008236645934792735,False,False,LR,True,False,True,True,False,False,843808739,False,False,True,True,False,False,False,True,False,False,False,True,All,False,True,1195
1,11,0.9562748563121434,0.3107779457358298,0.36205166807170874,knn,8,0.013447621992685017,svd,0.9728895137123764,100,0.002727358873882895,8,4,26,3,5,18,0.8765775639289279,False,SMOTEENN,False,18,8,auto,0.5839273246719878,0.004205382688013594,0.6704900332824154,modified_huber,none,319912.2632360493,poly,0.6642382009361419,4.306338500887419,0.006900414793628935,0.019992533839113057,False,False,RF,True,False,False,True,True,True,4155638834,True,True,False,False,True,False,False,False,True,True,True,False,PyRadiomics,False,False,175
1,12,0.4912608850654354,0.13012640171184187,0.6896992224154697,median,6,0.006517682486406163,svd,0.4509338346281382,50,0.00601241555823789,8,2,72,2,2,25,0.7620052109827564,True,SMOTETomek,True,15,8,not minority,0.3887379130259515,0.0023087129348068947,0.39957836816563386,squared_hinge,l1,854.4826366075508,linear,0.5081130607351285,4.909373030906899,0.12968927778516792,0.06713355758469101,False,False,SVM,False,False,True,True,False,True,2419514819,True,False,False,False,False,False,False,False,True,True,False,False,All,True,True,2135
1,13,0.97004897668289,1.3144459828801084e-05,0.5660425902161303,constant,6,0.09015621726012997,eigen,0.7906654595346578,95variance,0.5211364019480046,6,4,96,1,5,58,0.7954724504628197,False,RandomOverSampling,False,8,14,all,0.2644928263397383,0.019325164101153654,0.3217733733797624,squared_hinge,l2,2.298646008224571,rbf,0.3756529296811749,5.139482591831417,0.33312120730536265,0.1517306455829451,False,False,LDA,True,False,True,False,True,False,3580410854,False,True,False,True,True,True,True,True,True,False,False,True,PREDICT,True,False,4340
1,14,0.450349046418278,0.0005879438469680999,0.5654593006422436,mean,7,0.03245820118810102,lsqr,0.8537010127923969,95variance,4.844586505576766e-05,6,4,28,1,5,37,0.8119683936432297,False,SMOTE,False,6,11,not majority,0.7230277319068401,9.191734827300198e-05,0.10707108375291952,hinge,l2,10.340147745481664,rbf,0.12622901179039792,3.2628525513070183,0.01418182732430369,0.03778021301417121,False,True,RF,False,False,False,True,True,True,738366605,False,True,False,False,False,False,False,True,True,False,True,False,PyRadiomics,False,True,1815
1,15,0.38704977184112044,0.08353994559528799,0.6345451038132993,mean,5,7.795807486812899e-05,eigen,0.7010808105699886,95variance,5.870453378612536e-05,7,3,87,1,5,47,0.8339700877114634,True,RandomOverSampling,False,19,3,auto,0.7321550445404383,0.07359240254606791,0.4823592434092414,modified_huber,none,936.2119838012387,linear,0.6380172500344322,5.647143836956666,0.01652430803190492,0.17518090375617842,False,False,QDA,True,False,False,False,False,True,2917653248,False,True,False,True,True,False,True,True,True,False,True,True,PyRadiomics,False,True,4400
1,16,0.24762905546506175,0.0006081715089811484,0.8576909474142178,mean,7,0.18573666529423422,lsqr,0.7708629630189067,10,0.040024922920307376,9,4,55,2,2,58,0.7615564604269587,False,ADASYN,False,17,9,auto,0.5918682704131959,0.0004057570146304024,0.5249196441798362,modified_huber,none,1.2098158037957294,rbf,0.18557410586975664,2.395339936972378,0.05269335080049016,0.011972111225415251,False,False,QDA,True,False,True,True,False,False,2419143872,False,False,False,True,True,False,False,False,False,False,True,True,PyRadiomics,True,True,2240
1,17,0.6737080153293766,4.0657596970524765e-05,0.5579436089900843,knn,9,0.0052473471020246226,eigen,0.4175433897183922,10,3.009591451824382e-05,9,3,27,1,2,37,0.8975957958124868,True,NeighbourhoodCleaningRule,False,5,13,not majority,0.4006641321338612,1.4836510879063573e-05,0.8896735751344371,modified_huber,none,2.236564707486154,poly,0.22934877800612685,1.3002810992700777,0.00031611010068417647,0.004913958601168349,False,False,GaussianNB,False,True,True,False,True,True,44362459,True,False,True,True,False,False,False,True,True,True,False,False,PREDICT,False,True,850
1,18,0.8487129843825548,0.0010091383478112795,0.866987450445999,median,5,7.034049863274105e-05,lsqr,0.16812880917620476,100,0.00017321853643064992,5,4,42,1,3,48,0.9548539190216401,False,RandomUnderSampling,True,15,6,all,0.652556555271123,0.004175451137451506,0.20648496975788944,squared_hinge,l1,66.70021478823098,linear,0.2612953275758588,1.5801786824115163,0.16929609114689295,0.024944485322118237,False,True,RF,True,True,True,True,False,False,711106291,True,True,True,True,False,False,True,True,True,False,True,True,PREDICT,False,True,4675
1,19,0.18584278088193018,2.879731235120335e-05,0.23951532093581218,knn,8,0.000738262052301305,svd,0.16338703528948284,10,6.727242129484177e-05,7,2,50,1,4,29,0.8444674226029344,True,SMOTEENN,False,8,10,auto,0.7024713440923771,0.001110773020333717,0.19655580143949225,squared_hinge,l2,87.32604733068705,rbf,0.6960093212859393,6.343683038435446,0.044733339941302186,0.006679844063967821,False,False,SVM,False,False,False,False,True,True,416207895,False,True,True,False,True,True,False,True,False,True,True,True,PyRadiomics,False,True,4580
1,20,0.2512863865979458,0.27563057684331566,0.4059767724306107,median,9,1.3891570908035546e-05,eigen,0.6265835702137442,100,0.016988725482262493,8,2,77,3,4,58,0.9882608860018036,False,RandomUnderSampling,False,13,4,not minority,0.36599714538751826,0.7718149714869378,0.8693017479157882,modified_huber,none,33723.09139889825,poly,0.5039434594136644,6.881849184338101,0.0017282875361705457,0.060321764754759165,False,True,RF,False,True,False,False,True,True,360307417,False,False,True,False,False,True,False,True,False,True,False,False,All,True,True,1790
1,21,0.5298192402668944,3.127475218404456e-05,0.7871520485651888,constant,8,0.00019616450259788622,eigen,0.7379052730952826,10,4.171743529529285e-05,7,2,58,1,4,34,0.9446411554844015,False,ADASYN,False,8,8,majority,0.45297931262369373,0.00010028996150793393,0.49058369334833296,modified_huber,l2,13613.602777805518,poly,0.5867536813113925,4.984274088402206,0.0032204057140196797,0.07378719192689914,False,False,QDA,False,True,False,False,False,True,84842090,False,True,True,False,True,True,True,False,True,True,False,True,PyRadiomics,False,True,2475
1,22,0.5541655865036035,0.0002695330400249802,0.8576710267957336,mean,8,0.001952659196763832,svd,0.1446943640956132,95variance,0.029148513074278737,5,2,87,2,3,53,0.8904821946509688,False,RandomUnderSampling,False,7,6,all,0.3592459272724871,0.10917763251478413,0.05938836669687808,modified_huber,none,71321.05688128209,linear,0.5151729329117081,4.490236075586231,0.016687017520447153,0.20078096220809127,False,True,SVM,False,True,True,False,True,False,3018675069,True,False,False,False,True,True,False,True,True,False,True,False,PyRadiomics,False,True,505
1,23,0.9829280019273589,0.0017743576965053018,0.1572274864242309,median,5,0.007052803780506836,eigen,0.7963972369154215,10,0.0023922306973192926,6,3,33,2,3,31,0.9958192387960586,True,SMOTETomek,True,15,5,all,0.6505094440862315,0.1322935237218201,0.9321715546184621,modified_huber,l1,2.1059502809615527,linear,0.5012904296062412,3.9013994181896003,0.0003154625360655095,0.006232951622051961,False,False,RF,True,True,False,False,False,False,3477806373,False,False,False,True,True,True,False,False,True,False,False,False,All,True,False,4195
1,24,0.27735209642767367,0.0014574985669045628,0.5051651151050304,knn,5,0.011674019632451437,svd,0.35727526755134054,10,0.3291236362588127,9,3,24,3,2,55,0.7966792198662546,False,NearMiss,False,9,7,auto,0.42729028959611065,0.00983856706478096,0.8132454442355398,squared_hinge,none,1.3610636096703228,rbf,0.8992628585447244,1.7798171541824646,0.15425479512365378,0.024247824961904006,False,False,GaussianNB,True,False,False,False,True,True,3990855813,True,True,False,True,False,False,True,False,True,False,True,False,PREDICT,False,False,2215
1,25,0.9772418271362467,0.6587630543454209,0.020313147125426312,constant,7,0.1883348150039643,eigen,0.43711470532003627,50,0.001131999649075779,7,2,42,1,3,57,0.8269585386877192,True,RandomOverSampling,False,6,8,auto,0.3225977449916779,0.0002518553618556795,0.2941006987607775,squared_hinge,l1,12.43409246496347,rbf,0.4682574298536011,1.6201632830719463,0.004427251101493277,0.0730477720796204,False,False,LR,True,False,False,False,False,True,2044003777,False,False,False,True,True,True,True,False,True,False,False,True,PREDICT,False,False,4775
1,26,0.44685312037800373,0.004230223606603097,0.6483354558419491,constant,7,0.31998767013087775,eigen,0.4185944978284887,10,0.11437907926416079,9,2,23,3,3,28,0.9903874309921891,False,BorderlineSMOTE,False,15,4,not minority,0.5844960409008579,3.4706440676527295e-05,0.6947267270115159,modified_huber,l2,24244.370980416214,rbf,0.696041070190236,4.130097831850816,0.028435980930008948,0.002702630646636548,False,True,QDA,False,True,True,False,True,False,4052688661,False,True,False,True,False,False,False,False,False,False,True,True,PyRadiomics,False,True,1865
1,27,0.7792123168027931,0.00021620385625157172,0.043686597865595256,constant,9,8.035065063256283e-05,svd,0.7920813954230442,100,0.021308460703510723,6,4,31,1,2,22,0.8947252660722848,False,NearMiss,True,10,7,not minority,0.5097784911910314,0.0011410660884849668,0.23288366534555205,hinge,l2,887.479203528384,linear,0.5520178882977076,1.2563855804162447,0.004113763071505101,0.005116140521079821,False,False,SVM,False,False,True,False,True,True,2653272349,True,False,False,False,True,False,False,True,True,True,False,False,PyRadiomics,False,False,1845
1,28,0.7474422162329005,7.180108840471332e-05,0.1885266316680464,knn,5,0.0002591398367771769,lsqr,0.6725366155277758,10,0.8655851576418055,5,2,62,3,3,45,0.8119044862882494,False,RandomOverSampling,False,14,9,all,0.6985607670043934,0.00025796956934923224,0.3010657855389428,squared_hinge,l2,2933.2032949138306,poly,0.6784822952486207,1.5665043783985386,0.050422584456311474,0.0024997452459114807,False,False,QDA,False,True,False,True,False,True,3978553855,False,False,False,True,True,True,True,True,False,False,True,False,PyRadiomics,False,False,2760
1,29,0.3871723670462043,0.0003295515068628686,0.824696519669178,mean,9,0.09713422998039048,eigen,0.5460784942188863,10,0.9298660801331602,9,2,78,2,2,30,0.8351146770397235,True,NearMiss,True,10,4,not majority,0.3202467636048138,0.018842756395015942,0.08688792876880169,modified_huber,l2,63744.76024329473,linear,0.2820579242423785,3.165643992401327,5.852899236640194e-05,0.03075867443309048,False,False,SVM,True,False,True,False,False,True,1208499739,False,False,False,False,True,False,False,False,True,False,True,False,PyRadiomics,False,False,1440
1,30,0.369758363149301,0.00011676726882359265,0.3022714027275668,median,5,0.11104263455367376,svd,0.5491180161172389,100,2.4013074131267435e-05,5,4,83,1,3,37,0.9575022575927361,False,NeighbourhoodCleaningRule,False,7,9,majority,0.29466407015061863,3.499760189271863e-05,0.5642884058030593,hinge,none,281514.2317374546,rbf,0.36565061164517687,1.2402979843370157,0.4119825665377796,0.011115515413768718,False,True,GaussianNB,True,False,False,False,True,False,69135090,False,True,False,False,True,True,True,False,True,False,True,True,PREDICT,True,False,4070
1,31,0.17290332509344064,0.001386971228913597,0.1180780007665323,mean,7,0.0012143716441652972,eigen,0.9509387435220562,95variance,0.2695849134809289,7,4,68,3,4,48,0.9993446626579078,False,SMOTE,False,13,12,majority,0.3564450454497489,0.020052625606392743,0.7347045149741096,modified_huber,none,13368.847756771973,rbf,0.6254444609591342,1.267165534683994,0.07403708946276182,0.0031728346137035036,False,False,SVM,True,False,False,True,True,True,422381798,False,True,True,False,True,False,False,False,True,True,False,False,All,True,False,2860
1,32,0.9254980220749315,0.18587430281419298,0.26041580251504637,knn,6,0.00023069567505345606,lsqr,0.8369847122800024,50,0.00016364890300207203,7,2,37,3,4,45,0.9821836235337484,False,SMOTETomek,False,7,4,not minority,0.6176488255078156,0.0001143562323114778,0.7844014773437135,modified_huber,none,1060.8249774099475,poly,0.7620235827382648,6.3637914965179965,5.267169568612639e-05,0.03276802079220464,False,False,QDA,False,False,False,False,False,False,1495739645,False,False,True,True,False,True,True,False,True,False,True,True,PREDICT,False,True,3500
1,33,0.8848895429577224,0.19194436048913865,0.555731603764814,knn,5,0.0024379222910296283,eigen,0.23348965047088688,50,0.056836262469933084,9,2,70,3,2,18,0.9406400424409511,False,RandomOverSampling,True,10,4,not minority,0.4409010610523506,0.0018126575126353054,0.7250421674168173,squared_hinge,none,17.77774761980714,rbf,0.42068104267799333,5.0707388382595475,0.006669663187355169,0.015607041663962179,False,False,QDA,False,False,False,True,False,False,1024825427,False,False,True,False,False,False,True,True,False,True,False,False,PyRadiomics,False,True,2650
1,34,0.27735209642767367,0.0014574985669045628,0.5051651151050304,knn,5,0.011674019632451437,svd,0.35727526755134054,10,0.3291236362588127,9,3,24,3,2,55,0.7966792198662546,False,NearMiss,False,9,7,auto,0.42729028959611065,0.00983856706478096,0.8132454442355398,squared_hinge,none,1.3610636096703228,rbf,0.8992628585447244,1.7798171541824646,0.15425479512365378,0.024247824961904006,False,False,GaussianNB,True,False,False,False,True,True,3990855813,True,True,False,True,False,False,True,False,True,False,True,False,PREDICT,False,False,2215
1,35,0.6435626258707114,0.6914405166441553,0.31349467740409387,knn,9,3.9182124199517755e-05,lsqr,0.13492345193559419,10,6.060992097045731e-05,6,2,24,1,2,34,0.8642366702015765,True,NeighbourhoodCleaningRule,False,15,12,not majority,0.6849472310082307,0.0008765916403683746,0.6946273302872825,hinge,l1,11.133402063988845,rbf,0.9313179570703329,6.134916704943956,2.3614172018911974e-05,0.014732848150748561,False,False,GaussianNB,False,True,False,True,True,False,2121710671,False,True,True,False,False,False,True,False,False,True,True,False,PREDICT,False,True,2225
1,36,0.9829280019273589,0.0017743576965053018,0.1572274864242309,median,5,0.007052803780506836,eigen,0.7963972369154215,10,0.0023922306973192926,6,3,33,2,3,31,0.9958192387960586,True,SMOTETomek,True,15,5,all,0.6505094440862315,0.1322935237218201,0.9321715546184621,modified_huber,l1,2.1059502809615527,linear,0.5012904296062412,3.9013994181896003,0.0003154625360655095,0.006232951622051961,False,False,RF,True,True,False,False,False,False,3477806373,False,False,False,True,True,True,False,False,True,False,False,False,All,True,False,4195
1,37,0.3150092725377671,0.0019043046656119372,0.8319899358542732,knn,9,0.00801304427160426,svd,0.25659033045753643,100,0.00398988307748425,7,2,90,3,3,56,0.8048065423995521,False,SMOTETomek,False,19,4,majority,0.3536152116287331,0.0880100221881226,0.37607964845487973,modified_huber,l2,9223.917355426665,poly,0.37665773910997635,2.3200188287352805,0.0012415695156339755,0.013203920193267415,False,False,RF,False,False,True,False,True,False,1899045014,True,False,False,False,True,True,False,True,True,True,False,False,All,False,True,3350
1,38,0.7289046409086006,0.08320659286526678,0.6479127619596943,median,6,0.09549210496140426,lsqr,0.21740983214740306,100,0.0014259516115756933,6,2,85,1,5,24,0.8265621756142671,True,SMOTETomek,False,10,12,majority,0.29552508126906035,0.5096795108580334,0.7040349420100621,modified_huber,l2,233025.75183831467,poly,0.3990666117486207,5.056382843499132,0.12853284442400356,0.012579214674763013,False,True,RF,False,False,True,True,True,True,1388715501,False,True,False,True,True,True,True,False,False,True,True,True,PyRadiomics,False,False,3095
1,39,0.5523646672297884,0.0011478399078406044,0.07065211707150654,mean,8,2.5140154416776105e-05,svd,0.3441537621865568,100,0.08514026059945848,7,2,65,3,3,59,0.9148220435492351,False,RandomUnderSampling,True,11,4,auto,0.4657152429977142,0.0005734965265813892,0.8449725431453683,squared_hinge,none,187238.69137485648,linear,0.08954565117460511,1.1378882713862333,0.5362470038145102,0.10328864443731389,False,False,SVM,False,True,True,True,False,True,2743820941,False,False,True,True,False,False,True,False,False,False,False,True,PyRadiomics,True,False,2615
